91, 90
91, 90
89, 88
84, 85
81, 82
77, 79
73, 75
69, 72
66, 69
63, 66
61, 64
60, 63
57, 60
54, 58
51, 55
48, 53
45, 50
42, 48
40, 45
37, 43
34, 40
32, 38
30, 35
28, 33
27, 31
25, 30
24, 29
23, 27
22, 24
21, 23
20, 21
19, 21
18, 20
18, 19
18, 18
17, 16
16, 15
16, 14
15, 12
15, 11
14, 10
13, 8
12, 7
12, 6
11, 5
9, 3
7, 2
7, 1
6, 0
6, 0
6, 0
6, 0
6, 0
6, 0
6, 0
6, 0
6, 0
6, 0
6, 0
6, 0
6, 1
6, 1
6, 3
6, 4
6, 5
7, 8
8, 9
9, 11
12, 13
15, 16
17, 18
20, 20
22, 22
25, 25
28, 28
31, 30
34, 32
36, 35
39, 37
41, 39
44, 41
46, 44
49, 46
51, 48
54, 51
57, 53
60, 56
62, 58
65, 60
67, 62
70, 64
73, 67
75, 68
78, 70
80, 73
81, 74
84, 76
85, 78
87, 79
88, 80
90, 81
91, 82
91, 83
92, 84
93, 85
93, 85
95, 86
97, 88
99, 89
101, 91
104, 94
107, 96
110, 99
114, 102
117, 104
119, 106
122, 108
124, 111
126, 112
127, 114
131, 116
133, 119
135, 121
138, 123
140, 124
141, 126
143, 127
144, 129
145, 130
147, 131
147, 131
147, 131
147, 130
147, 129
147, 128
147, 126
147, 124
147, 124
147, 124
147, 124
147, 124
147, 124
147, 124
147, 124
147, 124
147, 124
147, 124
147, 124
147, 124
147, 124
147, 124
147, 124
147, 124
147, 124
147, 124
147, 124
