11, 5, 5
12, 7, 7
13, 7, 7
13, 7, 7
15, 9, 9
16, 10, 10
16, 12, 12
17, 12, 12
18, 15, 15
18, 15, 15
18, 17, 17
19, 15, 15
19, 17, 17
20, 16, 16
20, 18, 18
21, 17, 16
21, 19, 19
22, 17, 17
22, 19, 19
22, 18, 18
22, 20, 20
22, 18, 18
21, 20, 20
22, 18, 18
22, 19, 19
22, 18, 18
22, 19, 19
22, 18, 18
22, 19, 19
22, 18, 18
23, 19, 19
25, 18, 18
26, 19, 19
26, 20, 20
28, 20, 20
28, 24, 24
30, 24, 24
31, 26, 26
33, 26, 26
33, 30, 30
34, 29, 29
34, 31, 31
35, 30, 30
36, 32, 32
36, 31, 31
37, 33, 33
36, 32, 32
37, 33, 33
37, 32, 32
37, 31, 31
37, 31, 31
37, 32, 32
37, 32, 32
38, 35, 35
38, 34, 34
38, 36, 36
38, 34, 34
40, 36, 36
40, 35, 35
40, 34, 34
41, 35, 35
42, 36, 36
42, 37, 37
42, 38, 38
42, 40, 40
42, 41, 41
43, 41, 41
44, 42, 42
44, 40, 40
44, 40, 40
44, 40, 40
44, 40, 40
44, 40, 40
44, 40, 40
44, 40, 40
44, 40, 40
45, 40, 40
46, 40, 40
46, 41, 41
47, 41, 41
47, 44, 44
47, 43, 43
47, 45, 45
47, 43, 43
47, 45, 45
47, 43, 43
47, 45, 45
47, 43, 43
47, 45, 45
47, 43, 43
47, 45, 45
47, 43, 43
47, 45, 45
47, 43, 43
47, 45, 45
47, 43, 43
48, 45, 45
49, 44, 44
49, 47, 47
49, 45, 45
49, 47, 47
49, 45, 45
49, 47, 47
49, 45, 45
49, 47, 47
49, 45, 45
49, 47, 47
49, 45, 45
49, 47, 47
49, 45, 45
49, 47, 47
49, 45, 45
48, 47, 47
47, 45, 45
47, 65, 65
46, 47, 47
46, 45, 45
46, 43, 43
45, 42, 42
44, 41, 41
44, 33, 33
43, 39, 39
42, 39, 39
42, 41, 41
40, 41, 41
40, 41, 41
39, 40, 40
38, 37, 37
37, 38, 38
35, 35, 35
35, 36, 36
33, 33, 33
31, 34, 34
30, 31, 31
29, 32, 32
29, 29, 29
28, 30, 30
26, 28, 28
25, 28, 28
24, 26, 26
23, 26, 26
22, 24, 24
21, 25, 25
20, 23, 23
20, 23, 23
19, 21, 21
18, 20, 20
16, 20, 20
15, 18, 18
14, 19, 19
13, 17, 17
12, 18, 18
11, 15, 15
10, 15, 15
10, 8, 8
10, 12, 12
10, 12, 12
12, 14, 14
13, 14, 14
14, 14, 14
16, 15, 15
17, 16, 16
19, 17, 17
20, 21, 21
21, 20, 20
22, 23, 23
24, 22, 22
26, 25, 25
28, 25, 25
31, 28, 28
32, 28, 28
35, 29, 29
37, 31, 31
40, 33, 33
40, 35, 35
41, 36, 36
42, 40, 40
42, 39, 39
44, 41, 41
45, 41, 41
46, 41, 41
46, 41, 41
47, 41, 41
47, 44, 44
47, 44, 44
47, 45, 45
47, 44, 44
48, 45, 45
49, 44, 44
49, 45, 45
49, 45, 45
49, 47, 47
50, 45, 45
50, 47, 47
51, 46, 46
51, 48, 48
51, 47, 47
52, 49, 49
52, 48, 48
53, 49, 49
53, 49, 49
53, 50, 50
51, 49, 49
51, 50, 50
50, 50, 50
49, 49, 49
46, 48, 48
44, 44, 44
43, 44, 44
42, 41, 41
42, 42, 42
40, 40, 40
40, 40, 40
39, 38, 38
38, 37, 37
38, 36, 36
35, 35, 35
35, 34, 34
34, 36, 36
34, 33, 33
33, 35, 35
33, 32, 32
33, 34, 34
32, 32, 32
31, 33, 33
31, 31, 31
31, 32, 32
30, 30, 30
29, 31, 31
29, 29, 29
29, 30, 30
29, 29, 29
28, 30, 30
26, 28, 28
24, 29, 29
22, 26, 26
22, 25, 25
20, 23, 23
20, 21, 21
19, 21, 21
18, 20, 20
