0, 6, 12, 8, 2
0, 6, 12, 8, 2
0, 6, 12, 8, 2
0, 6, 12, 8, 2
0, 6, 12, 8, 2
0, 6, 12, 8, 2
0, 6, 12, 8, 2
0, 6, 12, 8, 2
0, 6, 12, 8, 2
0, 6, 12, 8, 2
0, 6, 12, 8, 2
2, 6, 12, 8, 2
2, 6, 0, 8, 2
6, 6, 0, 8, 2
13, 6, 0, 8, 2
24, 6, 14, 8, 2
36, 11, 20, 3, 2
47, 18, 20, 7, 2
57, 26, 20, 8, 2
67, 33, 20, 8, 2
74, 40, 20, 8, 2
86, 48, 20, 8, 2
94, 55, 20, 8, 2
95, 63, 20, 8, 2
98, 70, 20, 8, 2
97, 77, 20, 8, 2
96, 84, 20, 8, 2
94, 92, 20, 8, 2
94, 94, 0, 8, 2
93, 94, 0, 8, 2
92, 94, 0, 8, 2
91, 94, 0, 8, 2
90, 94, 0, 8, 2
89, 94, 0, 8, 2
88, 94, 10, 8, 2
86, 94, 12, 8, 2
83, 94, 16, 8, 2
80, 89, 20, 8, 2
60, 87, 16, 8, 2
32, 82, 20, 7, 2
12, 75, 20, 7, 2
7, 67, 20, 8, 2
3, 60, 20, 8, 2
1, 53, 20, 8, 2
3, 45, 20, 8, 2
5, 38, 20, 8, 2
7, 31, 20, 8, 2
8, 24, 20, 8, 2
9, 16, 20, 8, 2
11, 14, 12, 8, 2
12, 14, 0, 8, 2
13, 14, 0, 8, 2
14, 14, 0, 8, 2
15, 14, 0, 8, 2
15, 14, 0, 8, 2
16, 14, 0, 8, 2
