22, 8, 8
26, 18, 18
31, 23, 23
35, 30, 30
38, 32, 32
39, 37, 37
39, 36, 36
38, 38, 38
38, 36, 36
38, 38, 38
38, 36, 36
38, 38, 38
38, 36, 36
38, 38, 38
38, 36, 36
38, 38, 38
38, 36, 36
38, 38, 38
38, 36, 36
38, 38, 38
38, 36, 36
38, 38, 38
38, 36, 36
38, 38, 38
38, 36, 36
38, 37, 37
38, 36, 36
38, 38, 38
38, 36, 36
38, 38, 38
38, 36, 36
38, 38, 38
38, 36, 36
38, 38, 38
38, 36, 36
38, 38, 38
38, 36, 36
38, 38, 38
38, 36, 36
38, 37, 37
38, 36, 36
38, 38, 38
38, 36, 36
38, 38, 38
38, 36, 36
38, 37, 37
38, 36, 36
38, 38, 38
38, 36, 36
38, 37, 37
38, 36, 36
38, 37, 37
38, 36, 36
38, 37, 37
38, 36, 36
38, 37, 37
38, 36, 36
38, 38, 38
38, 36, 36
38, 37, 37
38, 36, 36
37, 37, 37
37, 35, 35
35, 37, 37
33, 34, 34
28, 34, 34
20, 29, 29
026, 15, 15
33, 24, 24
37, 30, 30
40, 36, 36
40, 40, 40
40, 40, 40
40, 40, 40
40, 38, 38
40, 37, 37
40, 37, 37
40, 37, 37
40, 37, 37
40, 37, 37
39, 37, 37
39, 36, 36
39, 38, 38
39, 36, 36
39, 38, 38
39, 36, 36
39, 38, 38
39, 36, 36
38, 38, 38
38, 36, 36
38, 37, 37
39, 36, 36
39, 38, 38
39, 36, 36
39, 38, 38
38, 36, 36
39, 37, 37
39, 36, 36
39, 38, 38
39, 36, 36
38, 38, 38
38, 36, 36
40, 37, 37
40, 37, 37
40, 37, 37
40, 37, 37
40, 37, 37
40, 37, 37
40, 37, 37
40, 37, 37
40, 37, 37
40, 31, 31
40, 37, 37
40, 37, 37
40, 39, 39
39, 37, 37
40, 38, 38
40, 37, 37
40, 40, 40
40, 37, 37
40, 39, 39
40, 37, 37
40, 39, 39
40, 37, 37
40, 39, 39
40, 37, 37
40, 39, 39
40, 37, 37
40, 39, 39
40, 37, 37
40, 39, 39
40, 37, 37
40, 39, 39
40, 37, 37
40, 39, 39
40, 37, 37
39, 39, 39
39, 36, 36
38, 38, 38
37, 36, 36
32, 37, 37
27, 32, 32
23, 29, 29
